+---------------------------------------------------------------------------------+--------------------+--------------------+------------------------------------------------------------+
|                                                                                 | A@0 | NAN          | A@1 | NULL         | A@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil } |
+---------------------------------------------------------------------------------+--------------------+--------------------+------------------------------------------------------------+
| B@0 | NAN                                                                       | NAN ? cmpValuesNan | NAN ? cmpValuesNan | NAN ? cmpValuesNan                                         |
| B@35 | "1.1e1"                                                                  | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@36 | "1.1e-1"                                                                 | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@37 | "9223372036854775807"                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@38 | "-9223372036854775808"                                                   | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@39 | "9.223372036854776E+18"                                                  | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@40 | "-9.223372036854776E+18"                                                 | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@41 | "1.797693134862316E+308"                                                 | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@42 | "-1.797693134862316E+308"                                                | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@43 | "INF"                                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@44 | "-INF"                                                                   | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@45 | { resource(opened) # stream }                                            | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@46 | { resource(opened) # stream }                                            | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@47 | { resource(closed) }                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@48 | []                                                                       | NAN ? cmpValuesNan | 0 ? cmpValuesNull  | NAN ? cmpValuesNil                                         |
| B@49 | [ "" ]                                                                   | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@50 | [ "a" ]                                                                  | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@51 | [ "a", "b" ]                                                             | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@52 | { object(serializable) # DateTime # "1970-01-01T00:00:00.000000+03:00" } | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@53 | { object(serializable) # DateTime # "1970-01-01T00:00:01.000000+03:00" } | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@54 | { object(serializable) # DateTime # "1970-01-01T00:00:01.500000+03:00" } | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@55 | { object # stdClass }                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@56 | { object # stdClass }                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@57 | { object # stdClass }                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@58 | { object # stdClass }                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@59 | { object # stdClass }                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@60 | { object # stdClass }                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@61 | { object(countable(0) iterable serializable) # ArrayObject }             | NAN ? cmpValuesNan | 0 ? cmpValuesNull  | NAN ? cmpValuesNil                                         |
| B@62 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@63 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@64 | { object(countable(2) iterable serializable) # ArrayObject }             | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
+---------------------------------------------------------------------------------+--------------------+--------------------+------------------------------------------------------------+


+---------------------------------------------------------------------------------+-------------------------+-------------------------+--------------------+
|                                                                                 | A@3 | "NAN"             | A@4 | "NULL"            | A@5 | "{N}"        |
+---------------------------------------------------------------------------------+-------------------------+-------------------------+--------------------+
| B@0 | NAN                                                                       | NAN ? cmpValuesNan      | NAN ? cmpValuesNan      | NAN ? cmpValuesNan |
| B@1 | NULL                                                                      | 1 ? cmpValuesNull       | 1 ? cmpValuesNull       | NAN ? cmpValuesNil |
| B@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil }                      | NAN ? cmpValuesNil      | NAN ? cmpValuesNil      | 0 ? cmpValuesNil   |
| B@3 | "NAN"                                                                     | 0 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@4 | "NULL"                                                                    | -1 ? cmpValuesString    | 0 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@5 | "{N}"                                                                     | NAN ? cmpValuesNil      | NAN ? cmpValuesNil      | 0 ? cmpValuesNil   |
| B@6 | FALSE                                                                     | 1 ? cmpValuesBoolean    | 1 ? cmpValuesBoolean    | NAN ? cmpValuesNil |
| B@7 | TRUE                                                                      | 0 ? cmpValuesBoolean    | 0 ? cmpValuesBoolean    | NAN ? cmpValuesNil |
| B@8 | 0                                                                         | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@9 | 1                                                                         | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@10 | 0.0                                                                      | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@11 | 1.0                                                                      | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@12 | 1.1                                                                      | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@13 | 10.0                                                                     | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@14 | 11.0                                                                     | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@15 | 0.11                                                                     | -1 ? cmpValuesString    | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@16 | 9223372036854775807                                                      | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@17 | -9223372036854775808                                                     | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@18 | 9.223372036854776E+18                                                    | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@19 | -9.223372036854776E+18                                                   | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@20 | 1.7976931348623157E+308                                                  | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@21 | -1.7976931348623157E+308                                                 | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@22 | INF                                                                      | NAN ? cmpValuesFloat    | NAN ? cmpValuesFloat    | NAN ? cmpValuesNil |
| B@23 | -INF                                                                     | NAN ? cmpValuesFloat    | NAN ? cmpValuesFloat    | NAN ? cmpValuesNil |
| B@24 | ""                                                                       | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@25 | "a"                                                                      | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@26 | "b"                                                                      | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@27 | "ab"                                                                     | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@28 | "ba"                                                                     | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@29 | "0"                                                                      | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@30 | "1"                                                                      | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@31 | "0.0"                                                                    | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@32 | "1.0"                                                                    | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@33 | "1.1"                                                                    | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@34 | "1e1"                                                                    | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@35 | "1.1e1"                                                                  | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@36 | "1.1e-1"                                                                 | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@37 | "9223372036854775807"                                                    | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@38 | "-9223372036854775808"                                                   | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@39 | "9.223372036854776E+18"                                                  | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@40 | "-9.223372036854776E+18"                                                 | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@41 | "1.797693134862316E+308"                                                 | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@42 | "-1.797693134862316E+308"                                                | -1 ? cmpValuesString    | -1 ? cmpValuesString    | NAN ? cmpValuesNil |
| B@43 | "INF"                                                                    | 1 ? cmpValuesString     | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@44 | "-INF"                                                                   | -1 ? cmpValuesString    | 1 ? cmpValuesString     | NAN ? cmpValuesNil |
| B@45 | { resource(opened) # stream }                                            | NAN ? cmpValuesResource | NAN ? cmpValuesResource | NAN ? cmpValuesNil |
| B@46 | { resource(opened) # stream }                                            | NAN ? cmpValuesResource | NAN ? cmpValuesResource | NAN ? cmpValuesNil |
| B@47 | { resource(closed) }                                                     | NAN ? cmpValuesResource | NAN ? cmpValuesResource | NAN ? cmpValuesNil |
| B@48 | []                                                                       | NAN ? cmpValuesArray    | NAN ? cmpValuesArray    | NAN ? cmpValuesNil |
| B@49 | [ "" ]                                                                   | NAN ? cmpValuesArray    | NAN ? cmpValuesArray    | NAN ? cmpValuesNil |
| B@50 | [ "a" ]                                                                  | NAN ? cmpValuesArray    | NAN ? cmpValuesArray    | NAN ? cmpValuesNil |
| B@51 | [ "a", "b" ]                                                             | NAN ? cmpValuesArray    | NAN ? cmpValuesArray    | NAN ? cmpValuesNil |
| B@52 | { object(serializable) # DateTime # "1970-01-01T00:00:00.000000+03:00" } | NAN ? cmpValuesDate     | NAN ? cmpValuesDate     | NAN ? cmpValuesNil |
| B@53 | { object(serializable) # DateTime # "1970-01-01T00:00:01.000000+03:00" } | NAN ? cmpValuesDate     | NAN ? cmpValuesDate     | NAN ? cmpValuesNil |
| B@54 | { object(serializable) # DateTime # "1970-01-01T00:00:01.500000+03:00" } | NAN ? cmpValuesDate     | NAN ? cmpValuesDate     | NAN ? cmpValuesNil |
| B@55 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
| B@56 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
| B@57 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
| B@58 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
| B@59 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
| B@60 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
| B@61 | { object(countable(0) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
| B@62 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
| B@63 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
| B@64 | { object(countable(2) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesNil |
+---------------------------------------------------------------------------------+-------------------------+-------------------------+--------------------+


+---------------------------------------------------------------------------------+-----------------------+----------------------+
|                                                                                 | A@6 | FALSE           | A@7 | TRUE           |
+---------------------------------------------------------------------------------+-----------------------+----------------------+
| B@0 | NAN                                                                       | NAN ? cmpValuesNan    | NAN ? cmpValuesNan   |
| B@1 | NULL                                                                      | 1 ? cmpValuesNull     | 1 ? cmpValuesNull    |
| B@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil }                      | NAN ? cmpValuesNil    | NAN ? cmpValuesNil   |
| B@3 | "NAN"                                                                     | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@4 | "NULL"                                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@5 | "{N}"                                                                     | NAN ? cmpValuesNil    | NAN ? cmpValuesNil   |
| B@6 | FALSE                                                                     | 0 ? cmpValuesBoolean  | 1 ? cmpValuesBoolean |
| B@7 | TRUE                                                                      | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@8 | 0                                                                         | 0 ? cmpValuesBoolean  | 1 ? cmpValuesBoolean |
| B@9 | 1                                                                         | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@10 | 0.0                                                                      | 0 ? cmpValuesBoolean  | 1 ? cmpValuesBoolean |
| B@11 | 1.0                                                                      | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@12 | 1.1                                                                      | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@13 | 10.0                                                                     | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@14 | 11.0                                                                     | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@15 | 0.11                                                                     | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@16 | 9223372036854775807                                                      | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@17 | -9223372036854775808                                                     | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@18 | 9.223372036854776E+18                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@19 | -9.223372036854776E+18                                                   | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@20 | 1.7976931348623157E+308                                                  | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@21 | -1.7976931348623157E+308                                                 | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@22 | INF                                                                      | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@23 | -INF                                                                     | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@24 | ""                                                                       | 0 ? cmpValuesBoolean  | 1 ? cmpValuesBoolean |
| B@25 | "a"                                                                      | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@26 | "b"                                                                      | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@27 | "ab"                                                                     | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@28 | "ba"                                                                     | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@29 | "0"                                                                      | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@30 | "1"                                                                      | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@31 | "0.0"                                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@32 | "1.0"                                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@33 | "1.1"                                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@34 | "1e1"                                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@35 | "1.1e1"                                                                  | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@36 | "1.1e-1"                                                                 | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@37 | "9223372036854775807"                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@38 | "-9223372036854775808"                                                   | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@39 | "9.223372036854776E+18"                                                  | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@40 | "-9.223372036854776E+18"                                                 | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@41 | "1.797693134862316E+308"                                                 | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@42 | "-1.797693134862316E+308"                                                | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@43 | "INF"                                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@44 | "-INF"                                                                   | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@45 | { resource(opened) # stream }                                            | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@46 | { resource(opened) # stream }                                            | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@47 | { resource(closed) }                                                     | 0 ? cmpValuesBoolean  | 1 ? cmpValuesBoolean |
| B@48 | []                                                                       | 0 ? cmpValuesBoolean  | 1 ? cmpValuesBoolean |
| B@49 | [ "" ]                                                                   | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@50 | [ "a" ]                                                                  | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@51 | [ "a", "b" ]                                                             | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@52 | { object(serializable) # DateTime # "1970-01-01T00:00:00.000000+03:00" } | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@53 | { object(serializable) # DateTime # "1970-01-01T00:00:01.000000+03:00" } | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@54 | { object(serializable) # DateTime # "1970-01-01T00:00:01.500000+03:00" } | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@55 | { object # stdClass }                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@56 | { object # stdClass }                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@57 | { object # stdClass }                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@58 | { object # stdClass }                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@59 | { object # stdClass }                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@60 | { object # stdClass }                                                    | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@61 | { object(countable(0) iterable serializable) # ArrayObject }             | 0 ? cmpValuesBoolean  | 1 ? cmpValuesBoolean |
| B@62 | { object(countable(1) iterable serializable) # ArrayObject }             | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@63 | { object(countable(1) iterable serializable) # ArrayObject }             | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@64 | { object(countable(2) iterable serializable) # ArrayObject }             | -1 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
+---------------------------------------------------------------------------------+-----------------------+----------------------+


+---------------------------------------------------------------------------------+-------------------------+-------------------------+
|                                                                                 | A@8 | 0                 | A@9 | 1                 |
+---------------------------------------------------------------------------------+-------------------------+-------------------------+
| B@0 | NAN                                                                       | NAN ? cmpValuesNan      | NAN ? cmpValuesNan      |
| B@1 | NULL                                                                      | 1 ? cmpValuesNull       | 1 ? cmpValuesNull       |
| B@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil }                      | NAN ? cmpValuesNil      | NAN ? cmpValuesNil      |
| B@3 | "NAN"                                                                     | -1 ? cmpValuesString    | -1 ? cmpValuesString    |
| B@4 | "NULL"                                                                    | -1 ? cmpValuesString    | -1 ? cmpValuesString    |
| B@5 | "{N}"                                                                     | NAN ? cmpValuesNil      | NAN ? cmpValuesNil      |
| B@6 | FALSE                                                                     | 0 ? cmpValuesBoolean    | 1 ? cmpValuesBoolean    |
| B@7 | TRUE                                                                      | -1 ? cmpValuesBoolean   | 0 ? cmpValuesBoolean    |
| B@8 | 0                                                                         | 0 ? cmpValuesInteger    | 1 ? cmpValuesInteger    |
| B@9 | 1                                                                         | -1 ? cmpValuesInteger   | 0 ? cmpValuesInteger    |
| B@10 | 0.0                                                                      | 0 ? cmpValuesInteger    | 1 ? cmpValuesInteger    |
| B@11 | 1.0                                                                      | -1 ? cmpValuesInteger   | 0 ? cmpValuesInteger    |
| B@12 | 1.1                                                                      | -1 ? cmpValuesFloat     | -1 ? cmpValuesFloat     |
| B@13 | 10.0                                                                     | -1 ? cmpValuesInteger   | -1 ? cmpValuesInteger   |
| B@14 | 11.0                                                                     | -1 ? cmpValuesInteger   | -1 ? cmpValuesInteger   |
| B@15 | 0.11                                                                     | -1 ? cmpValuesFloat     | 1 ? cmpValuesFloat      |
| B@16 | 9223372036854775807                                                      | -1 ? cmpValuesInteger   | -1 ? cmpValuesInteger   |
| B@17 | -9223372036854775808                                                     | 1 ? cmpValuesInteger    | 1 ? cmpValuesInteger    |
| B@18 | 9.223372036854776E+18                                                    | -1 ? cmpValuesFloat     | -1 ? cmpValuesFloat     |
| B@19 | -9.223372036854776E+18                                                   | 1 ? cmpValuesFloat      | 1 ? cmpValuesFloat      |
| B@20 | 1.7976931348623157E+308                                                  | -1 ? cmpValuesFloat     | -1 ? cmpValuesFloat     |
| B@21 | -1.7976931348623157E+308                                                 | 1 ? cmpValuesFloat      | 1 ? cmpValuesFloat      |
| B@22 | INF                                                                      | -1 ? cmpValuesFloat     | -1 ? cmpValuesFloat     |
| B@23 | -INF                                                                     | 1 ? cmpValuesFloat      | 1 ? cmpValuesFloat      |
| B@24 | ""                                                                       | 1 ? cmpValuesString     | 1 ? cmpValuesString     |
| B@25 | "a"                                                                      | -1 ? cmpValuesString    | -1 ? cmpValuesString    |
